##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	GK45-PG_S12_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	19424315
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.741368846211564	32.0	32.0	32.0	32.0	32.0
2	31.81008699663283	32.0	32.0	32.0	32.0	32.0
3	31.826246022060495	32.0	32.0	32.0	32.0	32.0
4	31.836913682670406	32.0	32.0	32.0	32.0	32.0
5	31.84741907243576	32.0	32.0	32.0	32.0	32.0
6	35.64867296478666	36.0	36.0	36.0	36.0	36.0
7	35.645912661527575	36.0	36.0	36.0	36.0	36.0
8	35.629393829331946	36.0	36.0	36.0	36.0	36.0
9	35.62664346207318	36.0	36.0	36.0	36.0	36.0
10-11	35.6268306244004	36.0	36.0	36.0	36.0	36.0
12-13	35.63634848899434	36.0	36.0	36.0	36.0	36.0
14-15	35.624222450058085	36.0	36.0	36.0	36.0	36.0
16-17	35.61944223000914	36.0	36.0	36.0	36.0	36.0
18-19	35.61124577623458	36.0	36.0	36.0	36.0	36.0
20-21	35.60620104235336	36.0	36.0	36.0	36.0	36.0
22-23	35.58535557109736	36.0	36.0	36.0	36.0	36.0
24-25	35.57103933909639	36.0	36.0	36.0	36.0	36.0
26-27	35.54310413412895	36.0	36.0	36.0	36.0	36.0
28-29	35.526159775353946	36.0	36.0	36.0	36.0	36.0
30-31	35.51455473932536	36.0	36.0	36.0	36.0	36.0
32-33	35.50165606250623	36.0	36.0	36.0	36.0	36.0
34-35	35.48684293946687	36.0	36.0	36.0	36.0	36.0
36-37	35.47924624141092	36.0	36.0	36.0	36.0	36.0
38-39	35.46234656275357	36.0	36.0	36.0	36.0	36.0
40-41	35.45001478557012	36.0	36.0	36.0	36.0	36.0
42-43	35.44056150261129	36.0	36.0	36.0	36.0	36.0
44-45	35.42917986601736	36.0	36.0	36.0	36.0	36.0
46-47	35.418098928513544	36.0	36.0	36.0	36.0	36.0
48-49	35.407215473284	36.0	36.0	36.0	36.0	36.0
50-51	35.3971850703453	36.0	36.0	36.0	36.0	36.0
52-53	35.385212661421235	36.0	36.0	36.0	36.0	36.0
54-55	35.3713912731305	36.0	36.0	36.0	36.0	36.0
56-57	35.35696864665066	36.0	36.0	36.0	36.0	36.0
58-59	35.338087396991845	36.0	36.0	36.0	36.0	36.0
60-61	35.322925903650486	36.0	36.0	36.0	36.0	36.0
62-63	35.30126978054831	36.0	36.0	36.0	36.0	36.0
64-65	35.27757424137978	36.0	36.0	36.0	36.0	36.0
66-67	35.25806029023486	36.0	36.0	36.0	36.0	36.0
68-69	35.23490289484081	36.0	36.0	36.0	36.0	36.0
70-71	35.20562614178623	36.0	36.0	36.0	36.0	36.0
72-73	35.17715077229099	36.0	36.0	36.0	36.0	36.0
74-75	35.13414349563598	36.0	36.0	36.0	36.0	36.0
76	34.532106961109534	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.08790390759773103
11101	2	-0.0626707096970911
11101	3	-0.03164467372210922
11101	4	-0.006027316834483543
11101	5	-0.027165476916533038
11101	6	-8.772452471390579E-4
11101	7	-0.058019726231037794
11101	8	-0.04774023191854582
11101	9	-0.055325836172080756
11101	10-11	-0.05369107264724704
11101	12-13	-0.04219475137214346
11101	14-15	-0.03939110271982571
11101	16-17	-0.0023012587338584467
11101	18-19	-0.03924312113895212
11101	20-21	-0.04907498044813963
11101	22-23	-0.07411753727947001
11101	24-25	-0.07019772370216515
11101	26-27	-0.08615907949596391
11101	28-29	-0.0643067859429749
11101	30-31	-0.06843338944356248
11101	32-33	-0.07742529178391067
11101	34-35	-0.1172650105676567
11101	36-37	-0.0911891868972532
11101	38-39	-0.021540796786148064
11101	40-41	-0.07068358373088302
11101	42-43	0.019935943941646883
11101	44-45	-0.11446997017088023
11101	46-47	-0.1368839870751728
11101	48-49	-0.07403331526277412
11101	50-51	-0.08199904663508306
11101	52-53	-0.06231649915282844
11101	54-55	-0.02976940254068694
11101	56-57	-0.024935361499643705
11101	58-59	-0.03766246560596187
11101	60-61	-0.104603119972424
11101	62-63	-0.05373599229070436
11101	64-65	0.01671937237853882
11101	66-67	-0.024607526563677595
11101	68-69	-0.07307162253803767
11101	70-71	0.003280866809973304
11101	72-73	-0.016562928644333397
11101	74-75	0.0288497136401773
11101	76	0.08036699083112353
11102	1	0.0473322091734687
11102	2	0.04490232200050315
11102	3	0.030526778893843698
11102	4	-0.04581033392076961
11102	5	4.447622649692562E-4
11102	6	0.004328820599837968
11102	7	0.05529627895084133
11102	8	0.06958129309131067
11102	9	0.0026268907753532744
11102	10-11	0.016224291094836474
11102	12-13	0.008779915731871313
11102	14-15	0.033663456108087075
11102	16-17	0.010007444106570063
11102	18-19	0.07046544784729747
11102	20-21	0.03366884784743718
11102	22-23	0.0514439710317518
11102	24-25	0.01958827528399354
11102	26-27	-0.056043319083443066
11102	28-29	4.8064420954574416E-4
11102	30-31	-0.0066124337777466735
11102	32-33	0.0033559824032494134
11102	34-35	-0.036287811160313765
11102	36-37	-0.009962159709836271
11102	38-39	0.014928922406504341
11102	40-41	0.01596341088329467
11102	42-43	0.026243811013181073
11102	44-45	0.014849505343065061
11102	46-47	0.011889533943659103
11102	48-49	-0.04361423486834326
11102	50-51	-0.024105067689447424
11102	52-53	0.04770185281318362
11102	54-55	-0.01771772418288009
11102	56-57	-0.034457853971105123
11102	58-59	-0.03586631112638372
11102	60-61	0.06568318223877156
11102	62-63	0.007662886986764761
11102	64-65	-0.020586146431817554
11102	66-67	0.0027594927064242825
11102	68-69	-0.045159382688851224
11102	70-71	-0.017255035837763444
11102	72-73	0.121453423618334
11102	74-75	-0.015801840069379125
11102	76	0.09429465486668676
11103	1	0.023619770835811238
11103	2	0.04330259219441501
11103	3	0.00632661673419932
11103	4	0.020388635315445214
11103	5	0.02851272426028828
11103	6	0.011197006890739658
11103	7	0.03527189005347253
11103	8	-0.0324733064295728
11103	9	-0.004815728200355807
11103	10-11	-0.002690825150246212
11103	12-13	0.011966574691093967
11103	14-15	-0.001582884745424451
