#Transcript position	Transcript coverage profile
0.0	1985.7077058835912
1.0	2109.415249847387
2.0	2363.895802645449
3.0	2624.5527675455755
4.0	3022.041739388547
5.0	3118.1455876159935
6.0	3112.894260726085
7.0	3232.9055674053902
8.0	3344.588218556184
9.0	3431.264107782366
10.0	3736.103203065132
11.0	3974.537734749763
12.0	4174.877064004596
13.0	4318.973775414809
14.0	4367.011552655899
15.0	4541.361961026981
16.0	4666.041946162869
17.0	4731.800578667199
18.0	4987.152016655205
19.0	5087.991949835472
20.0	5284.128759053395
21.0	5346.428339158565
22.0	5332.6818237763
23.0	5395.875389212798
24.0	5366.609063633613
25.0	5540.241457968077
26.0	5770.527702411512
27.0	5727.611674192465
28.0	5924.234308973444
29.0	5916.773881643133
30.0	6000.739674197596
31.0	6047.341553059662
32.0	6207.157202829658
33.0	6423.568027561004
34.0	6306.3027870275
35.0	6472.774881687347
36.0	6348.4356002450595
37.0	6433.340090403791
38.0	6482.339029165557
39.0	6631.372278091934
40.0	6618.9358683655155
41.0	6830.284974808389
42.0	7144.539965300269
43.0	7233.062100598101
44.0	7241.34648682652
45.0	7218.005099671658
46.0	7343.932498208908
47.0	7392.83376308058
48.0	7276.77818712081
49.0	7302.632353156896
50.0	7234.488120774983
51.0	7262.715825096673
52.0	7239.91292098237
53.0	7244.94671214807
54.0	7206.007856899037
55.0	7202.462194485884
56.0	7109.876675924618
57.0	7164.110450975323
58.0	7173.090602051479
59.0	7100.260292546294
60.0	7058.195446579327
61.0	7083.167164266423
62.0	7129.434872816633
63.0	7201.91629723795
64.0	7038.0434561592
65.0	7032.157819725597
66.0	6918.377561069401
67.0	6914.081696892329
68.0	6945.451625167116
69.0	6967.622546983322
70.0	6974.791192428024
71.0	7025.618157185909
72.0	7008.662625119377
73.0	7063.322658958662
74.0	6852.470792798357
75.0	6736.955467366058
76.0	6514.035052969776
77.0	6403.45010216505
78.0	6403.783157529526
79.0	6225.900669208579
80.0	6113.834574988066
81.0	6005.934682821073
82.0	5781.6687987364285
83.0	5466.353151004234
84.0	5368.346931253305
85.0	5184.36939700947
86.0	4994.014729620672
87.0	4861.191895971947
88.0	4701.018821652656
89.0	4328.8367377074765
90.0	4118.516689690192
91.0	3857.85017705695
92.0	3624.121774068873
93.0	2899.041162923545
94.0	2451.96533691501
95.0	1808.6714778011335
96.0	1306.4687906135512
97.0	953.3318333465177
98.0	575.0942155617483
99.0	140.8542966093098
