#Transcript position	Transcript coverage profile
0.0	3398.8952925755084
1.0	3694.694473891105
2.0	4116.1476229121945
3.0	4553.090639327629
4.0	5109.324282574547
5.0	5403.3852989532415
6.0	5647.0701121987195
7.0	5900.120289640099
8.0	6138.079336169091
9.0	6363.9336622596775
10.0	6800.692226336387
11.0	7159.003762288217
12.0	7468.207523028355
13.0	7727.532344750999
14.0	7905.400574893691
15.0	8185.507022632859
16.0	8400.7688394051
17.0	8537.237711892416
18.0	8879.654601585566
19.0	9072.258021843094
20.0	9335.096138959205
21.0	9477.663167819424
22.0	9551.43082156398
23.0	9679.807001255815
24.0	9719.79456412994
25.0	9942.307893797457
26.0	10226.532469870644
27.0	10224.236392676381
28.0	10434.582207470541
29.0	10480.82960666409
30.0	10607.298442935273
31.0	10671.638647023185
32.0	10877.387443591624
33.0	11119.279393803386
34.0	11024.155154561638
35.0	11197.739812575819
36.0	11095.666687195951
37.0	11224.643735057938
38.0	11324.638880727516
39.0	11514.241711224964
40.0	11512.979074979656
41.0	11724.020215809041
42.0	12031.204435679105
43.0	12157.52403170947
44.0	12184.835118744384
45.0	12222.694800565814
46.0	12390.418349631685
47.0	12450.514663375125
48.0	12357.398017441117
49.0	12408.653085905724
50.0	12361.795987482812
51.0	12394.714473269249
52.0	12387.467385101489
53.0	12389.043552241525
54.0	12356.1802480659
55.0	12369.978472584731
56.0	12313.962466125211
57.0	12376.933402240193
58.0	12411.190551891763
59.0	12386.794153183811
60.0	12394.506468970396
61.0	12442.572272295318
62.0	12461.237514221302
63.0	12543.517204518783
64.0	12408.31006794438
65.0	12434.885513834808
66.0	12356.977246175411
67.0	12355.04060539442
68.0	12365.088458938995
69.0	12404.082407732036
70.0	12420.492382833907
71.0	12476.487065175115
72.0	12451.710336088889
73.0	12478.456353470192
74.0	12250.382406559813
75.0	12137.983949868923
76.0	11942.754058453316
77.0	11816.872119497442
78.0	11769.984644251703
79.0	11576.931951999626
80.0	11431.274036136285
81.0	11338.228075259914
82.0	11096.671315329748
83.0	10759.282130087542
84.0	10638.689535759586
85.0	10425.700945643934
86.0	10209.04670461019
87.0	10036.475616130747
88.0	9825.696419589152
89.0	9355.768456447615
90.0	9012.19635934163
91.0	8591.146276816855
92.0	8122.079600157552
93.0	7085.819961133686
94.0	6246.598739473453
95.0	5105.281385060885
96.0	3959.084600184142
97.0	2817.8830688920566
98.0	1630.112061663753
99.0	453.63390342779377
