##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	HA05-BL_S6_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43976557
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.426361527120005	32.0	32.0	32.0	32.0	32.0
2	31.544036291881604	32.0	32.0	32.0	32.0	32.0
3	31.566574504684393	32.0	32.0	32.0	32.0	32.0
4	31.581159912086797	32.0	32.0	32.0	32.0	32.0
5	31.609801535850114	32.0	32.0	32.0	32.0	32.0
6	35.17856120478008	36.0	36.0	36.0	36.0	36.0
7	35.193321569035064	36.0	36.0	36.0	36.0	36.0
8	35.1489624801687	36.0	36.0	36.0	36.0	36.0
9	35.15049095362331	36.0	36.0	36.0	36.0	36.0
10-11	35.147067186273816	36.0	36.0	36.0	36.0	36.0
12-13	35.16480347699798	36.0	36.0	36.0	36.0	36.0
14-15	35.14531772007527	36.0	36.0	36.0	36.0	36.0
16-17	35.135467324101796	36.0	36.0	36.0	36.0	36.0
18-19	35.11821670123016	36.0	36.0	36.0	36.0	36.0
20-21	35.09604592283111	36.0	36.0	36.0	36.0	36.0
22-23	35.05783126678153	36.0	36.0	36.0	36.0	36.0
24-25	35.01919763750491	36.0	36.0	36.0	36.0	36.0
26-27	34.94188890085202	36.0	36.0	36.0	36.0	36.0
28-29	34.90375658424139	36.0	36.0	36.0	36.0	36.0
30-31	34.852313987717835	36.0	36.0	36.0	36.0	36.0
32-33	34.822754017607636	36.0	36.0	36.0	34.0	36.0
34-35	34.79065791713363	36.0	36.0	36.0	32.0	36.0
36-37	34.75538249828469	36.0	36.0	36.0	32.0	36.0
38-39	34.717930913639606	36.0	36.0	36.0	32.0	36.0
40-41	34.68884961319158	36.0	36.0	36.0	32.0	36.0
42-43	34.66261586098256	36.0	36.0	36.0	32.0	36.0
44-45	34.62064240584968	36.0	36.0	36.0	32.0	36.0
46-47	34.57629229607794	36.0	36.0	36.0	32.0	36.0
48-49	34.51936392609301	36.0	36.0	36.0	32.0	36.0
50-51	34.47435128607029	36.0	36.0	36.0	32.0	36.0
52-53	34.417801479418195	36.0	36.0	36.0	32.0	36.0
54-55	34.36599251690895	36.0	36.0	36.0	32.0	36.0
56-57	34.287898255906555	36.0	36.0	36.0	32.0	36.0
58-59	34.22088706688881	36.0	36.0	36.0	32.0	36.0
60-61	34.16202761146967	36.0	36.0	36.0	32.0	36.0
62-63	34.09494003758824	36.0	36.0	36.0	32.0	36.0
64-65	34.03398370905856	36.0	36.0	36.0	32.0	36.0
66-67	33.96872659656363	36.0	36.0	36.0	32.0	36.0
68-69	33.920157657560466	36.0	36.0	36.0	32.0	36.0
70-71	33.86660819268445	36.0	36.0	36.0	32.0	36.0
72-73	33.80945265711693	36.0	36.0	36.0	29.5	36.0
74-75	33.732245816818256	36.0	36.0	36.0	27.0	36.0
76	32.273592410748726	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.0837360532346807
11101	2	0.03174206649853417
11101	3	-0.01883721962365925
11101	4	0.03039399078960514
11101	5	0.047666035550971486
11101	6	0.10248448518117215
11101	7	0.08576236325325937
11101	8	0.03907923775080491
11101	9	0.03185813617559319
11101	10-11	0.10897797175478985
11101	12-13	0.08484155122447845
11101	14-15	0.10930509357891083
11101	16-17	0.1554497963966952
11101	18-19	0.10782154575328917
11101	20-21	0.11494198768436803
11101	22-23	0.10030575905285843
11101	24-25	0.13778087135887773
11101	26-27	0.08182808233629402
11101	28-29	0.037283142629156885
11101	30-31	0.10464105277944924
11101	32-33	0.09900654834130052
11101	34-35	0.16759342738061633
11101	36-37	0.08798104543191698
11101	38-39	0.13165242132542687
11101	40-41	0.13317772964482089
11101	42-43	0.15626547024378823
11101	44-45	0.09537955190635472
11101	46-47	0.13754419708217114
11101	48-49	0.18011843957368256
11101	50-51	0.20895395972198116
11101	52-53	0.17947400074722708
11101	54-55	0.11937108530646157
11101	56-57	0.1662805902114428
11101	58-59	0.17919942441319847
11101	60-61	0.21007167991764675
11101	62-63	0.20072348982539978
11101	64-65	0.1697212439602609
11101	66-67	0.28820696211208485
11101	68-69	0.33091380350754207
11101	70-71	0.22950191163668165
11101	72-73	0.2127041480258569
11101	74-75	0.26512336905449274
11101	76	0.3968663815048643
11102	1	0.07036282646165049
11102	2	0.05182436683150371
11102	3	0.06864848948573155
11102	4	0.008981195225086225
11102	5	0.07100245371276515
11102	6	0.06149474318561943
11102	7	0.09919958103447613
11102	8	0.016165018702956502
11102	9	0.05180468841233221
11102	10-11	0.08539335564012873
11102	12-13	0.08617649751859346
11102	14-15	0.03298811542353519
11102	16-17	0.02099528323902433
11102	18-19	0.06524049302149848
11102	20-21	0.04328410804840388
11102	22-23	0.06774673926697261
11102	24-25	0.08782417516918883
11102	26-27	0.15479843200734678
11102	28-29	0.0639340305741456
11102	30-31	0.05184186711070993
11102	32-33	0.08431261781682764
11102	34-35	0.04058625051509068
11102	36-37	0.05998207675465039
11102	38-39	0.05238685058829162
11102	40-41	0.05821296458827874
11102	42-43	0.12795942030260932
11102	44-45	0.09207355634803349
11102	46-47	0.14969811711313952
11102	48-49	0.1623690031521079
11102	50-51	0.1699831003282668
11102	52-53	0.06808479825455294
11102	54-55	0.15047702643063587
11102	56-57	0.16153074281137236
11102	58-59	0.1175090232440894
11102	60-61	0.1564329944985019
11102	62-63	0.11848558728060254
11102	64-65	0.08049068187246888
11102	66-67	0.17392038832215917
11102	68-69	0.1225028627743896
11102	70-71	0.16257984588912677
11102	72-73	0.131160867724482
11102	74-75	0.17339072821879853
11102	76	0.18091049960512606
11103	1	0.052204916054797934
11103	2	0.06704079775574101
11103	3	0.04375437272825167
11103	4	0.06433150075294236
11103	5	-0.002266992083804098
11103	6	0.09253469101194867
11103	7	0.10201892498842824
11103	8	0.08893983545712558
11103	9	0.07907384120461103
11103	10-11	0.10756830755434521
11103	12-13	0.05328892137291774
11103	14-15	0.06920568528379079
11103	16-17	0.08641912339100344
11103	18-19	0.0682804030408306
11103	20-21	0.08397410478755063
11103	22-23	0.0853082252712909
