#Transcript position	Transcript coverage profile
0.0	5724.08042074248
1.0	6601.922647803899
2.0	8036.581833035207
3.0	8894.430246588605
4.0	9839.468242215617
5.0	9645.727314980013
6.0	9660.057605392207
7.0	9407.465163657813
8.0	9319.383612952293
9.0	9676.001418064661
10.0	10601.585387862595
11.0	11188.860720122597
12.0	11199.539734448654
13.0	11450.350098853813
14.0	11402.303373678375
15.0	11797.568085299023
16.0	12183.43357677551
17.0	12140.871733105014
18.0	12854.86115196524
19.0	13155.299792599435
20.0	13885.6914525378
21.0	13953.845221785794
22.0	13950.67402998817
23.0	14326.095881552264
24.0	13952.045342608053
25.0	14334.088446576787
26.0	15058.726619448753
27.0	14946.14561590943
28.0	15061.984911228048
29.0	14977.199304956712
30.0	15209.877710043622
31.0	15597.848289371716
32.0	16489.71297850476
33.0	16754.348384517365
34.0	16182.238120611455
35.0	16544.168651901808
36.0	16310.853203818357
37.0	16468.391981953228
38.0	16472.945013137447
39.0	17304.911284023354
40.0	17279.06206279278
41.0	18006.213391790738
42.0	18596.90095079516
43.0	18593.61120715207
44.0	18189.731184297674
45.0	17454.39808679602
46.0	18038.61610999036
47.0	18148.179252474107
48.0	17929.550053968076
49.0	18315.725286560413
50.0	18287.815030267153
51.0	18244.116660813706
52.0	18513.91292403103
53.0	18693.63370188596
54.0	18649.66893089089
55.0	18727.761749841397
56.0	18873.657046745026
57.0	19023.50211249599
58.0	18905.904735447704
59.0	18634.709958339095
60.0	18526.843317664403
61.0	18433.03884963445
62.0	18435.875233738425
63.0	18421.757915864528
64.0	17787.362453335336
65.0	17636.122899137106
66.0	17220.246986798615
67.0	16738.837844016576
68.0	17040.6161091847
69.0	17275.319962799076
70.0	17198.705060618435
71.0	17453.450671736264
72.0	17472.408506585685
73.0	17624.68350068933
74.0	16939.611483531313
75.0	16576.41964936226
76.0	15798.85128841836
77.0	15597.498371424186
78.0	15659.342307763172
79.0	15474.546671448665
80.0	15427.359174878477
81.0	15018.680130232824
82.0	14340.41250216897
83.0	13610.337065676427
84.0	13379.07840941465
85.0	12987.622918204519
86.0	12907.930001104223
87.0	12664.034708503583
88.0	12150.794068688323
89.0	11035.098340449365
90.0	10505.85250764291
91.0	9761.277506754734
92.0	9182.20715106433
93.0	7330.222941887015
94.0	6261.784151113159
95.0	4803.846228167995
96.0	3522.8257388100074
97.0	2586.4935218459414
98.0	1729.4482100027851
99.0	354.88815434994956
