#Transcript position	Transcript coverage profile
0.0	8285.219051353517
1.0	9459.322695251303
2.0	11178.005281475624
3.0	12372.160298993464
4.0	13661.67237048467
5.0	13834.334117965553
6.0	14181.581108013672
7.0	14231.943268898054
8.0	14438.442894549476
9.0	15037.946241092566
10.0	16220.706284957367
11.0	17018.387734390464
12.0	17202.30487237146
13.0	17642.327518921033
14.0	17779.15244368176
15.0	18377.470515595993
16.0	18905.390857714763
17.0	18987.623037178502
18.0	19807.541332640787
19.0	20247.67049226761
20.0	21103.782377285002
21.0	21304.593110267022
22.0	21457.789609996413
23.0	21952.025045575887
24.0	21675.34447697332
25.0	22099.735157210893
26.0	22927.28297279402
27.0	22835.112463875437
28.0	22989.51811851991
29.0	22998.227112438577
30.0	23299.43125578349
31.0	23695.531077859814
32.0	24643.655525034083
33.0	25006.73591666986
34.0	24458.116905595445
35.0	24829.45003887344
36.0	24632.212562129484
37.0	24858.95848924699
38.0	24939.022111037782
39.0	25820.990141886115
40.0	25817.477092794416
41.0	26523.038891003023
42.0	27102.778502533085
43.0	27127.019112866103
44.0	26743.975605942258
45.0	26114.725397160408
46.0	26766.209300528506
47.0	26909.15789375298
48.0	26700.280933288417
49.0	27110.20331019702
50.0	27109.28122414459
51.0	27050.938521137174
52.0	27352.174958380656
53.0	27510.014181891933
54.0	27457.523725802912
55.0	27576.382305263247
56.0	27759.764550990247
57.0	27926.119894814976
58.0	27793.57386746848
59.0	27605.51763934859
60.0	27536.76879473826
61.0	27459.098634104033
62.0	27412.47546941074
63.0	27399.598964451718
64.0	26807.165026680443
65.0	26669.850996308225
66.0	26242.012249017527
67.0	25746.457924745057
68.0	26021.158272034525
69.0	26293.359384569638
70.0	26207.79791776367
71.0	26458.132983152358
72.0	26444.83284337634
73.0	26570.350005838656
74.0	25867.6104944302
75.0	25499.20808139535
76.0	24755.267635640925
77.0	24459.6541348775
78.0	24445.796815906888
79.0	24216.089576106373
80.0	24081.911010916658
81.0	23655.92520132377
82.0	22920.778228835894
83.0	22145.695455487734
84.0	21852.942444416323
85.0	21373.037210735358
86.0	21272.58916538267
87.0	21000.641831918045
88.0	20438.83148760648
89.0	19214.33720643085
90.0	18437.560534131466
91.0	17384.133076737126
92.0	16448.644070696064
93.0	14093.064559356255
94.0	12373.884465921956
95.0	10156.45416509247
96.0	7879.594262258808
97.0	5690.04218186651
98.0	3482.828825178039
99.0	894.3003673888682
