##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	HA05-PG_S7_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	20698305
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.758893687188394	32.0	32.0	32.0	32.0	32.0
2	31.811145308758373	32.0	32.0	32.0	32.0	32.0
3	31.83378817734109	32.0	32.0	32.0	32.0	32.0
4	31.84545710385464	32.0	32.0	32.0	32.0	32.0
5	31.858361832043734	32.0	32.0	32.0	32.0	32.0
6	35.66894859265046	36.0	36.0	36.0	36.0	36.0
7	35.672390275435596	36.0	36.0	36.0	36.0	36.0
8	35.66259483566408	36.0	36.0	36.0	36.0	36.0
9	35.660907885935586	36.0	36.0	36.0	36.0	36.0
10-11	35.65828897583643	36.0	36.0	36.0	36.0	36.0
12-13	35.67217122368233	36.0	36.0	36.0	36.0	36.0
14-15	35.66049053292045	36.0	36.0	36.0	36.0	36.0
16-17	35.65467493594282	36.0	36.0	36.0	36.0	36.0
18-19	35.64683023561591	36.0	36.0	36.0	36.0	36.0
20-21	35.63733573836119	36.0	36.0	36.0	36.0	36.0
22-23	35.61708562609354	36.0	36.0	36.0	36.0	36.0
24-25	35.599064198735114	36.0	36.0	36.0	36.0	36.0
26-27	35.568573133082815	36.0	36.0	36.0	36.0	36.0
28-29	35.55104977241951	36.0	36.0	36.0	36.0	36.0
30-31	35.5292105091483	36.0	36.0	36.0	36.0	36.0
32-33	35.51385320982239	36.0	36.0	36.0	36.0	36.0
34-35	35.496299922388374	36.0	36.0	36.0	36.0	36.0
36-37	35.47869042579485	36.0	36.0	36.0	36.0	36.0
38-39	35.45924090294248	36.0	36.0	36.0	36.0	36.0
40-41	35.44218748573625	36.0	36.0	36.0	36.0	36.0
42-43	35.42893687705971	36.0	36.0	36.0	36.0	36.0
44-45	35.41261851336863	36.0	36.0	36.0	36.0	36.0
46-47	35.395466071991045	36.0	36.0	36.0	36.0	36.0
48-49	35.37498309051277	36.0	36.0	36.0	36.0	36.0
50-51	35.36362255128819	36.0	36.0	36.0	36.0	36.0
52-53	35.343675430406904	36.0	36.0	36.0	36.0	36.0
54-55	35.327249819479036	36.0	36.0	36.0	36.0	36.0
56-57	35.30674955457649	36.0	36.0	36.0	36.0	36.0
58-59	35.28586632161559	36.0	36.0	36.0	36.0	36.0
60-61	35.26613784906013	36.0	36.0	36.0	36.0	36.0
62-63	35.24145767018434	36.0	36.0	36.0	36.0	36.0
64-65	35.21389432374356	36.0	36.0	36.0	36.0	36.0
66-67	35.18816694436639	36.0	36.0	36.0	36.0	36.0
68-69	35.16403815680064	36.0	36.0	36.0	36.0	36.0
70-71	35.13171831745366	36.0	36.0	36.0	36.0	36.0
72-73	35.09843835311821	36.0	36.0	36.0	36.0	36.0
74-75	35.05211076861542	36.0	36.0	36.0	36.0	36.0
76	34.459091083092694	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.08674567702047042
11101	2	0.013505904007040215
11101	3	-0.0015227414296141717
11101	4	0.05844782851727359
11101	5	0.014205221912472865
11101	6	-0.017202236124873593
11101	7	-0.05615905699590229
11101	8	-0.020902383642706468
11101	9	0.012351536168210941
11101	10-11	0.009493700090480672
11101	12-13	-0.029668548956337304
11101	14-15	-0.023127260992559684
11101	16-17	-0.03984762905744077
11101	18-19	-0.059235658575985894
11101	20-21	-0.011517377739203027
11101	22-23	0.0035492811825719173
11101	24-25	0.005137185336195671
11101	26-27	-0.003201016601330764
11101	28-29	-0.01350867261181321
11101	30-31	0.014776550326764948
11101	32-33	-0.025904562431286138
11101	34-35	-0.05325431485997001
11101	36-37	-0.04375629592670549
11101	38-39	-0.008531060133059043
11101	40-41	-0.06571110972971894
11101	42-43	0.034186619392549744
11101	44-45	-0.0519413780671556
11101	46-47	-0.0368379832088408
11101	48-49	0.013049769680797851
11101	50-51	-0.02944159932352619
11101	52-53	-0.01300757729622859
11101	54-55	-0.013231187975179637
11101	56-57	-0.017493553977622867
11101	58-59	-0.006614370594164143
11101	60-61	-0.025570412711381607
11101	62-63	-0.09337483683540171
11101	64-65	-0.013887040719801291
11101	66-67	-0.010606111403923535
11101	68-69	6.914322368345438E-5
11101	70-71	-0.05053833651912498
11101	72-73	0.03189089471203488
11101	74-75	0.043320803320852974
11101	76	0.11974018002023712
11102	1	0.05049350604753755
11102	2	-0.03536357331407203
11102	3	-0.006892504514155462
11102	4	-0.024517988997342144
11102	5	0.0333471177910063
11102	6	-0.012390729014079227
11102	7	-0.01006906833396215
11102	8	0.015066631832908683
11102	9	0.053009522655024455
11102	10-11	0.001522403131410499
11102	12-13	0.008384019492787331
11102	14-15	-0.01704822197151401
11102	16-17	0.017363019283372694
11102	18-19	7.787313237130888E-4
11102	20-21	-0.009808207229987431
11102	22-23	0.015170720468475452
11102	24-25	0.021450416275591522
11102	26-27	-0.022101385728213074
11102	28-29	0.018084433336518657
11102	30-31	-0.011933146517755233
11102	32-33	0.00930450683556927
11102	34-35	0.02594897741104063
11102	36-37	0.0018200189056116756
11102	38-39	0.006162957673474523
11102	40-41	-6.567204727190301E-4
11102	42-43	0.017354492760965456
11102	44-45	0.046611852661619935
11102	46-47	0.016106790261744663
11102	48-49	0.03405399804021414
11102	50-51	0.05384970957249635
11102	52-53	-0.013736096620583282
11102	54-55	0.03276789086734766
11102	56-57	0.04795396124803375
11102	58-59	0.007783206733350312
11102	60-61	0.065445024213453
11102	62-63	0.11109994841510229
11102	64-65	0.024343790826939937
11102	66-67	-0.017779633618161483
11102	68-69	-0.014637973782335223
11102	70-71	0.08407999584101589
11102	72-73	0.016295889307485822
11102	74-75	-0.004537098743035983
11102	76	0.15461976032517555
11103	1	0.03867831759300344
11103	2	-0.007743424792280962
11103	3	-0.0038520113097284536
11103	4	0.02992365314921841
11103	5	0.01286232025702816
11103	6	0.011936719493697012
11103	7	-0.019649424225789858
11103	8	-0.03444997178205256
11103	9	0.05727952405617032
11103	10-11	0.03612903056590966
11103	12-13	0.011622424985290536
11103	14-15	0.005415698443222539
11103	16-17	0.07055939030760783
