#Transcript position	Transcript coverage profile
0.0	2726.8285819595694
1.0	3025.0510434695516
2.0	3495.1565035455446
3.0	3770.3248266952733
4.0	4169.12767454208
5.0	4162.975766558265
6.0	4195.458541977933
7.0	4152.899633903101
8.0	4168.751105139292
9.0	4215.77053253077
10.0	4521.902945692327
11.0	4813.649564605843
12.0	5025.080398525903
13.0	5232.343222609736
14.0	5321.647816111937
15.0	5530.851005143759
16.0	5707.889450977254
17.0	5793.391888877372
18.0	6169.778487821411
19.0	6353.987660973028
20.0	6696.768379519682
21.0	6788.038764301848
22.0	6816.8906332689485
23.0	6973.420474910622
24.0	6921.013985162689
25.0	7163.26899418755
26.0	7473.438574371608
27.0	7437.167716113527
28.0	7534.580958241854
29.0	7521.988263234326
30.0	7612.523725144618
31.0	7669.969001452918
32.0	7967.062808072308
33.0	8144.3492056097075
34.0	7941.951678665998
35.0	8335.645552037733
36.0	8287.879085965667
37.0	8258.379169435362
38.0	8349.70017348581
39.0	8522.292316509904
40.0	8472.393012575627
41.0	8811.16004858595
42.0	9115.12786086038
43.0	9159.829384887029
44.0	9065.078668452805
45.0	8781.895930803286
46.0	8966.283033198411
47.0	8957.928857658531
48.0	8756.460233723323
49.0	8947.264968266969
50.0	8897.377229208805
51.0	8920.53864527901
52.0	8940.36807520551
53.0	8932.142536649386
54.0	8843.939470979505
55.0	8835.728192437684
56.0	8797.351638706992
57.0	8870.2775503404
58.0	8866.165466262722
59.0	8771.665327259698
60.0	8660.874597935204
61.0	8594.573585362408
62.0	8622.154684820687
63.0	8648.548580038478
64.0	8425.532214217916
65.0	8393.324816202763
66.0	8157.066402405417
67.0	8048.378791323078
68.0	8133.683124394324
69.0	8117.871587112103
70.0	8042.881388151825
71.0	8054.095480926514
72.0	8052.310035415547
73.0	8134.507726046441
74.0	7901.186949233143
75.0	7781.2365602577975
76.0	7409.570629144784
77.0	7344.659917844137
78.0	7370.170629981195
79.0	7231.399730850618
80.0	7197.863008966433
81.0	7002.061166126793
82.0	6673.577472300265
83.0	6345.195083113687
84.0	6242.50081727374
85.0	6057.0713479559745
86.0	5901.351035161015
87.0	5810.738845774073
88.0	5588.244936708283
89.0	5062.271683654445
90.0	4745.560857528502
91.0	4339.429442339761
92.0	4031.449635056462
93.0	3229.927072138892
94.0	2728.8674366871787
95.0	2186.6477073140495
96.0	1639.5686548460428
97.0	1203.1113087449237
98.0	796.5796233528672
99.0	184.3428266197765
