#Transcript position	Transcript coverage profile
0.0	4115.892274628968
1.0	4569.874911678164
2.0	5177.936308948916
3.0	5625.14318323738
4.0	6215.505598072902
5.0	6421.747353167904
6.0	6653.452976509511
7.0	6782.6528512882405
8.0	6966.526402697558
9.0	7146.633168620589
10.0	7592.927893302071
11.0	8009.345667806759
12.0	8332.08137394883
13.0	8649.425248861924
14.0	8839.007322734975
15.0	9162.66315853181
16.0	9445.50464128964
17.0	9602.212444835117
18.0	10047.959705928619
19.0	10304.321765324183
20.0	10722.02212846745
21.0	10877.251924549642
22.0	10966.862273432695
23.0	11166.296683746772
24.0	11183.964174723948
25.0	11484.810294119949
26.0	11858.860132613665
27.0	11852.082852004245
28.0	11958.058474514351
29.0	11986.04902389772
30.0	12118.73431107347
31.0	12193.26771066644
32.0	12534.757586670437
33.0	12762.080279837504
34.0	12576.604613161206
35.0	12991.512805470218
36.0	12966.93676589728
37.0	12979.361429201615
38.0	13112.003682446395
39.0	13305.756153767954
40.0	13274.767445608726
41.0	13630.229858426996
42.0	13924.089143814914
43.0	13982.494903973678
44.0	13895.94579107825
45.0	13665.83047288456
46.0	13887.468730810951
47.0	13906.214902306265
48.0	13703.494977799577
49.0	13913.391020390278
50.0	13877.718336687592
51.0	13902.173947238582
52.0	13947.718554803698
53.0	13936.160814810872
54.0	13842.854050850687
55.0	13860.961628024279
56.0	13846.305055690478
57.0	13927.445149269779
58.0	13930.246523302652
59.0	13875.108418719321
60.0	13799.155214213615
61.0	13768.347690583625
62.0	13762.639475526852
63.0	13785.31011029338
64.0	13588.858608289518
65.0	13573.415033921474
66.0	13349.507165364017
67.0	13227.412179477024
68.0	13290.186242015689
69.0	13287.207902621878
70.0	13214.425595080716
71.0	13242.876072837655
72.0	13229.804764179773
73.0	13284.589659982961
74.0	13027.726259851002
75.0	12895.975013395386
76.0	12547.234348085934
77.0	12435.08163431476
78.0	12428.25573453322
79.0	12269.949950865055
80.0	12189.326500130772
81.0	11978.421523629588
82.0	11613.76527404327
83.0	11263.698791267354
84.0	11128.113694957477
85.0	10893.328037753075
86.0	10707.82726894378
87.0	10560.64210764944
88.0	10271.733233942661
89.0	9646.781886401759
90.0	9191.621890210447
91.0	8622.5911554355
92.0	8114.180276874108
93.0	7034.359343991645
94.0	6166.585234623177
95.0	5184.051144714281
96.0	4062.507347105337
97.0	2919.767145024941
98.0	1773.8535872139275
99.0	483.1187846930618
