##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	HH91-BL_S2_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43624015
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.388201361108095	32.0	32.0	32.0	32.0	32.0
2	31.509971377004156	32.0	32.0	32.0	32.0	32.0
3	31.541366790745876	32.0	32.0	32.0	32.0	32.0
4	31.564593355288366	32.0	32.0	32.0	32.0	32.0
5	31.59749534745942	32.0	32.0	32.0	32.0	32.0
6	35.158479589739734	36.0	36.0	36.0	36.0	36.0
7	35.17677144114314	36.0	36.0	36.0	36.0	36.0
8	35.138743648423926	36.0	36.0	36.0	36.0	36.0
9	35.14184127710391	36.0	36.0	36.0	36.0	36.0
10-11	35.13524684740733	36.0	36.0	36.0	36.0	36.0
12-13	35.157438030405956	36.0	36.0	36.0	36.0	36.0
14-15	35.138172816050975	36.0	36.0	36.0	36.0	36.0
16-17	35.129790999292474	36.0	36.0	36.0	36.0	36.0
18-19	35.11486095445364	36.0	36.0	36.0	36.0	36.0
20-21	35.09307886951717	36.0	36.0	36.0	36.0	36.0
22-23	35.05768759478008	36.0	36.0	36.0	36.0	36.0
24-25	35.022705143027295	36.0	36.0	36.0	36.0	36.0
26-27	34.94803193792258	36.0	36.0	36.0	36.0	36.0
28-29	34.91068354462029	36.0	36.0	36.0	36.0	36.0
30-31	34.86155199238431	36.0	36.0	36.0	36.0	36.0
32-33	34.83277635688239	36.0	36.0	36.0	34.0	36.0
34-35	34.79776132496095	36.0	36.0	36.0	32.0	36.0
36-37	34.761612637135855	36.0	36.0	36.0	32.0	36.0
38-39	34.72775806807583	36.0	36.0	36.0	32.0	36.0
40-41	34.70036158973303	36.0	36.0	36.0	32.0	36.0
42-43	34.67361115201365	36.0	36.0	36.0	32.0	36.0
44-45	34.63011552052714	36.0	36.0	36.0	32.0	36.0
46-47	34.58858004330244	36.0	36.0	36.0	32.0	36.0
48-49	34.532065215306204	36.0	36.0	36.0	32.0	36.0
50-51	34.48910635895763	36.0	36.0	36.0	32.0	36.0
52-53	34.43421861697624	36.0	36.0	36.0	32.0	36.0
54-55	34.38691057955917	36.0	36.0	36.0	32.0	36.0
56-57	34.307004957529266	36.0	36.0	36.0	32.0	36.0
58-59	34.24135550701804	36.0	36.0	36.0	32.0	36.0
60-61	34.179921627038254	36.0	36.0	36.0	32.0	36.0
62-63	34.11376358016042	36.0	36.0	36.0	32.0	36.0
64-65	34.0536912884425	36.0	36.0	36.0	32.0	36.0
66-67	33.987968658181174	36.0	36.0	36.0	32.0	36.0
68-69	33.938298443660514	36.0	36.0	36.0	32.0	36.0
70-71	33.88152963101534	36.0	36.0	36.0	32.0	36.0
72-73	33.82640887012464	36.0	36.0	36.0	29.5	36.0
74-75	33.75509890425947	36.0	36.0	36.0	27.0	36.0
76	32.29932872774708	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.03999326134989545
11101	2	0.0640506847105442
11101	3	0.034953549129308925
11101	4	-6.187650688431745E-4
11101	5	0.04667894198815148
11101	6	0.0310865740476558
11101	7	0.07411115349243147
11101	8	0.052031996134367375
11101	9	0.10808556794687263
11101	10-11	0.07171612006295902
11101	12-13	0.05670775841441156
11101	14-15	0.09132131347703876
11101	16-17	0.10895475082464401
11101	18-19	0.06586855284953685
11101	20-21	0.08149212386810945
11101	22-23	0.06440530879449824
11101	24-25	0.14667914042923513
11101	26-27	0.0011227328932150726
11101	28-29	0.10216005125959526
11101	30-31	0.054890959532748695
11101	32-33	0.1611862624799798
11101	34-35	0.09625367264877127
11101	36-37	0.10035886650823755
11101	38-39	0.1293557606081137
11101	40-41	0.08854909554036539
11101	42-43	0.11185543376262075
11101	44-45	0.1373467116039535
11101	46-47	0.082130466171904
11101	48-49	0.10865387699587359
11101	50-51	0.15276114650285422
11101	52-53	0.10018975038176592
11101	54-55	0.10063287587359326
11101	56-57	0.04087919013853991
11101	58-59	0.13166419638526605
11101	60-61	0.16599540813941616
11101	62-63	0.10982850674776756
11101	64-65	0.09586703662601082
11101	66-67	0.21351191268085046
11101	68-69	0.23913554063906162
11101	70-71	0.16253337232999598
11101	72-73	0.13392892307116
11101	74-75	0.2527195072026558
11101	76	0.47214199374456456
11102	1	0.08529409678907385
11102	2	0.05217116738644734
11102	3	0.05119663977018618
11102	4	0.03909424762098368
11102	5	0.06268382475300527
11102	6	0.05549760186792696
11102	7	0.025822416193783226
11102	8	0.05138041760579881
11102	9	0.11523095565495112
11102	10-11	0.02671502848980367
11102	12-13	0.08796055364204136
11102	14-15	0.0786626617087336
11102	16-17	0.07031452697113849
11102	18-19	0.09655594789892064
11102	20-21	0.04167360851174351
11102	22-23	0.03607027317276135
11102	24-25	0.06516448818109666
11102	26-27	0.12942859607144186
11102	28-29	0.11314675709947863
11102	30-31	0.0979411992490995
11102	32-33	0.08027223473442291
11102	34-35	0.12386457425179742
11102	36-37	0.10437462390614627
11102	38-39	0.1507535877826669
11102	40-41	0.10605238630738967
11102	42-43	0.09524447234419142
11102	44-45	0.08073312233853613
11102	46-47	0.10796278217127053
11102	48-49	0.12959176884569956
11102	50-51	0.17250141521139994
11102	52-53	0.06770026238793037
11102	54-55	0.22710853498141859
11102	56-57	0.10681629778920865
11102	58-59	0.14078371246595367
11102	60-61	0.11467686587141657
11102	62-63	0.16753912724867348
11102	64-65	0.0877967216472868
11102	66-67	0.1237521762661018
11102	68-69	0.0967203420237368
11102	70-71	0.11463432492803349
11102	72-73	0.17266701727683653
11102	74-75	0.13574860980592263
11102	76	0.26495161166415215
11103	1	0.0798999180447808
11103	2	0.01635843982799301
11103	3	0.007182941323474523
11103	4	0.04810082764416279
11103	5	0.028284929183062246
11103	6	0.1147922131873571
11103	7	0.08140101621705043
11103	8	0.0938284630520414
11103	9	0.05392350685902869
11103	10-11	0.029513603712665315
11103	12-13	0.0951307205495695
11103	14-15	0.1133472007841263
11103	16-17	0.0663417665245234
11103	18-19	0.04015705449108253
11103	20-21	0.0512848078916619
11103	22-23	0.06693643793427384
