#Transcript position	Transcript coverage profile
0.0	4542.890634214476
1.0	4941.050959837983
2.0	5963.272057905128
3.0	6882.795514581474
4.0	8210.706486124744
5.0	8665.965067210624
6.0	8820.008846434981
7.0	8923.48408426161
8.0	8943.632698109706
9.0	9307.590987705422
10.0	10536.714317107106
11.0	11100.43043461923
12.0	11361.263220414026
13.0	11689.485152520008
14.0	11537.996769954265
15.0	12009.487397248999
16.0	12513.229456839652
17.0	12544.74753908766
18.0	12749.667668830896
19.0	12914.71274040548
20.0	13486.54052341422
21.0	13717.665671284762
22.0	13864.020484078272
23.0	14066.129660297496
24.0	13729.226763058809
25.0	13932.458109344236
26.0	14405.417192273448
27.0	14144.82179286026
28.0	14378.209438497503
29.0	14331.32403763562
30.0	14625.978959850183
31.0	15211.493444904707
32.0	16064.07406943461
33.0	16589.97083359463
34.0	16240.55978763615
35.0	16301.876286830071
36.0	15912.148823318461
37.0	16258.806358708365
38.0	16442.098118965467
39.0	17254.44012294981
40.0	17220.24308430432
41.0	17587.209573891734
42.0	18238.076326331822
43.0	18324.041687719604
44.0	18177.22004831355
45.0	18098.14409462418
46.0	18580.99084673891
47.0	18717.81222046335
48.0	18206.248047097783
49.0	18434.12612997101
50.0	18463.394446204922
51.0	18371.29092262795
52.0	18285.68788843395
53.0	18455.96433223188
54.0	18518.19992559544
55.0	18365.66244064989
56.0	18167.721859770765
57.0	18170.66214775108
58.0	18031.46376683113
59.0	17975.448273954422
60.0	18100.136323491774
61.0	18142.24683949033
62.0	18129.54534905515
63.0	18468.05160531597
64.0	17870.640656692052
65.0	17642.731767711903
66.0	17310.47023862678
67.0	17115.15832374983
68.0	17605.748322267824
69.0	17959.694559035386
70.0	17568.435037348718
71.0	17601.035893081847
72.0	17517.466352244475
73.0	17604.738397647197
74.0	16902.749624415774
75.0	16560.618830555308
76.0	15697.317570921661
77.0	15293.073296370454
78.0	15227.604500665553
79.0	14815.68133168731
80.0	14671.761540827512
81.0	14435.591630176974
82.0	13806.546529738149
83.0	13104.433387709545
84.0	12905.258137058661
85.0	12480.249668637549
86.0	12480.935990943752
87.0	12217.588985383061
88.0	11623.922455457792
89.0	10405.111788670198
90.0	9940.599255521367
91.0	9250.95110686044
92.0	8565.36072767325
93.0	7034.315885463196
94.0	5919.534424904388
95.0	4103.715401591141
96.0	2691.910434624292
97.0	2026.7682377705976
98.0	1313.1379630001034
99.0	305.5656211125773
