#Transcript position	Transcript coverage profile
0.0	7802.200607118061
1.0	8616.01024069526
2.0	10052.75520565321
3.0	11410.72635646143
4.0	13101.273005032064
5.0	13966.013976067183
6.0	14517.95500567688
7.0	14998.590682394843
8.0	15382.72928757852
9.0	16037.877449510654
10.0	17565.522587464726
11.0	18398.273064909397
12.0	18862.424533298275
13.0	19428.332314131174
14.0	19538.365757004307
15.0	20272.738797414582
16.0	20946.796199590084
17.0	21129.689192614303
18.0	21480.728228889406
19.0	21817.417481342458
20.0	22518.469312929825
21.0	22892.89690637438
22.0	23211.946235312844
23.0	23509.820734271314
24.0	23302.30061534329
25.0	23564.469630291816
26.0	24158.089464185497
27.0	23927.871804797167
28.0	24192.88062542229
29.0	24242.501244557585
30.0	24596.94202056438
31.0	25205.153083152003
32.0	26120.457488650776
33.0	26740.939960357075
34.0	26416.596023378177
35.0	26485.71304974681
36.0	26137.581450276248
37.0	26568.771119308105
38.0	26862.8168294507
39.0	27727.19222881577
40.0	27712.15107683647
41.0	28047.137444067626
42.0	28664.232772332613
43.0	28755.191562941396
44.0	28622.32164667136
45.0	28645.508606753716
46.0	29201.986145181716
47.0	29358.060713927807
48.0	28827.829766133967
49.0	29038.1147252734
50.0	29071.251884765785
51.0	28953.673739807095
52.0	28899.522252152237
53.0	29029.328434894807
54.0	29064.014251662997
55.0	28942.54891368635
56.0	28786.81399298477
57.0	28816.54862801343
58.0	28650.52797792281
59.0	28661.831100167536
60.0	28839.249472940435
61.0	28871.262650202923
62.0	28752.25299572073
63.0	29032.58113466298
64.0	28481.767191847932
65.0	28291.706028673358
66.0	27986.945524588773
67.0	27755.444277547682
68.0	28162.133356192637
69.0	28517.06597103425
70.0	28104.549198380453
71.0	28103.613353901663
72.0	27989.13353328535
73.0	28021.479447777383
74.0	27313.47809200691
75.0	26948.36858990222
76.0	26163.76564321617
77.0	25665.249836773648
78.0	25474.751980414574
79.0	24986.953961959338
80.0	24746.25926340346
81.0	24463.06918407773
82.0	23723.832904906256
83.0	22957.683665820034
84.0	22683.584507921383
85.0	22173.477727435904
86.0	22124.585107475305
87.0	21784.380371801704
88.0	21120.393405353814
89.0	19714.423922632242
90.0	18954.596394445554
91.0	17865.840899376402
92.0	16733.134226472317
93.0	14623.381290435309
94.0	12778.989626814433
95.0	10096.963668507862
96.0	7539.128915462947
97.0	5458.776652749215
98.0	3290.7933818648116
99.0	906.8978465744148
