#Transcript position	Transcript coverage profile
0.0	1894.2835337137399
1.0	1996.6185589621975
2.0	2294.639983318549
3.0	2659.3557386587922
4.0	3199.0225774003748
5.0	3446.986388703243
6.0	3613.8026864738194
7.0	3795.7410826478563
8.0	3827.6434519806485
9.0	3929.778113857127
10.0	4343.644469217849
11.0	4626.151720588543
12.0	4781.35559460615
13.0	4875.054975418312
14.0	4882.914076759202
15.0	5065.169258976543
16.0	5211.403261838692
17.0	5283.167439930947
18.0	5419.456401498418
19.0	5495.978436904369
20.0	5698.022237557076
21.0	5825.905607867674
22.0	5925.396520874305
23.0	6049.735307832578
24.0	6102.008296775363
25.0	6236.1907185921145
26.0	6382.398066003054
27.0	6283.299834797398
28.0	6477.174320780791
29.0	6415.6123440333095
30.0	6480.720199243651
31.0	6575.400510228061
32.0	6869.79954012211
33.0	7150.132969084158
34.0	7084.285986879232
35.0	7098.87920309705
36.0	6943.2011395515865
37.0	7019.401117545008
38.0	7041.605363479456
39.0	7251.102170022245
40.0	7316.135407752341
41.0	7573.8447807091525
42.0	7907.716881805149
43.0	7981.435645044385
44.0	7938.940702410518
45.0	7906.218664762501
46.0	8041.066303611478
47.0	8154.30701384281
48.0	7998.291090381219
49.0	8038.902462871752
50.0	8011.201606939368
51.0	8057.163379315135
52.0	8006.884576552484
53.0	8085.712599021462
54.0	8036.150910678617
55.0	7992.877492326921
56.0	7945.836273658054
57.0	7963.575832340067
58.0	7936.465269411144
59.0	7848.8640988264015
60.0	7790.114179724089
61.0	7745.175380892758
62.0	7707.691026898389
63.0	7895.04142939135
64.0	7755.464599799365
65.0	7676.278257220905
66.0	7526.510064687889
67.0	7491.259337004349
68.0	7623.151406608352
69.0	7638.16384015819
70.0	7438.587687699234
71.0	7379.381908679431
72.0	7312.421360449505
73.0	7353.551356517546
74.0	7129.476556347772
75.0	6968.64547008186
76.0	6652.0234994752145
77.0	6562.543998186065
78.0	6548.444545216555
79.0	6464.992069585367
80.0	6416.01786409803
81.0	6331.415554062912
82.0	6089.75519705151
83.0	5825.251610082616
84.0	5748.841152840322
85.0	5536.523481055862
86.0	5394.0946907096495
87.0	5253.123305943982
88.0	5042.746995932233
89.0	4577.435066631844
90.0	4366.4467480580215
91.0	4060.9793051477277
92.0	3764.2301156448248
93.0	3045.813905148
94.0	2530.059193443939
95.0	1863.8226317408603
96.0	1248.020464177608
97.0	927.094464415546
98.0	600.3142587077535
99.0	159.93913266999775
