#Transcript position	Transcript coverage profile
0.0	3366.0469179225274
1.0	3634.746682390748
2.0	4101.910380875436
3.0	4668.006109116689
4.0	5393.645624057679
5.0	5855.746615070843
6.0	6233.036414149636
7.0	6604.890346142479
8.0	6817.851736223359
9.0	7070.874749424393
10.0	7617.349566174462
11.0	8026.605479765769
12.0	8286.008877142232
13.0	8496.969053046927
14.0	8639.564296952738
15.0	8954.451648264172
16.0	9206.459210396864
17.0	9356.601599392161
18.0	9583.172192836262
19.0	9746.641485539478
20.0	10023.5806336724
21.0	10232.556460116199
22.0	10404.40379943708
23.0	10571.754328757936
24.0	10677.104480712407
25.0	10854.642495043498
26.0	11059.580798848083
27.0	10984.308580791523
28.0	11188.489502266522
29.0	11171.100142713725
30.0	11285.881005523157
31.0	11407.894514586364
32.0	11750.509874222935
33.0	12077.426146579937
34.0	12022.757505218337
35.0	12043.615361862698
36.0	11914.136676835722
37.0	12035.037546822376
38.0	12102.042444542496
39.0	12337.378861975303
40.0	12395.510356211782
41.0	12651.056819163201
42.0	12986.197057146019
43.0	13098.194926027207
44.0	13069.562218505162
45.0	13084.536882948934
46.0	13250.46253804706
47.0	13385.128585439856
48.0	13221.929137785814
49.0	13254.88847602077
50.0	13224.130083892558
51.0	13265.41159193012
52.0	13242.852505316663
53.0	13293.747502621987
54.0	13236.371407341005
55.0	13207.439528713034
56.0	13181.140786189697
57.0	13198.70340806166
58.0	13178.294703158239
59.0	13134.888588682546
60.0	13105.879345260171
61.0	13082.38415702527
62.0	13015.70984181705
63.0	13196.845727883996
64.0	13068.881728323218
65.0	13014.167820107297
66.0	12893.704220911482
67.0	12848.088501242491
68.0	12957.63406622383
69.0	12995.234550529212
70.0	12816.008551621888
71.0	12761.553820317109
72.0	12676.912476040903
73.0	12676.672581039078
74.0	12426.92124335192
75.0	12249.931711279718
76.0	11965.655103356137
77.0	11853.779917387154
78.0	11797.095488792856
79.0	11675.842768457938
80.0	11576.584910444535
81.0	11492.468103342298
82.0	11219.449827672963
83.0	10919.037590093682
84.0	10791.671112022132
85.0	10537.734399461006
86.0	10357.965189572413
87.0	10155.264978553369
88.0	9885.890581125968
89.0	9308.604541075734
90.0	8946.899856100714
91.0	8467.670158976483
92.0	7967.689678531677
93.0	6972.413792221964
94.0	6098.555250247794
95.0	4956.34409122826
96.0	3733.7651585524754
97.0	2699.1101979009763
98.0	1612.8388848382463
99.0	463.05513623148363
