##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	HI81-PG_S5_R1_001.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	20754404
Sequences flagged as poor quality	0
Sequence length	25-76
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.740165027143156	32.0	32.0	32.0	32.0	32.0
2	31.803037417986083	32.0	32.0	32.0	32.0	32.0
3	31.82787407434104	32.0	32.0	32.0	32.0	32.0
4	31.84282261249227	32.0	32.0	32.0	32.0	32.0
5	31.85707274465699	32.0	32.0	32.0	32.0	32.0
6	35.66667498618607	36.0	36.0	36.0	36.0	36.0
7	35.66825778278191	36.0	36.0	36.0	36.0	36.0
8	35.653728095492404	36.0	36.0	36.0	36.0	36.0
9	35.65198480283992	36.0	36.0	36.0	36.0	36.0
10-11	35.64891432199161	36.0	36.0	36.0	36.0	36.0
12-13	35.661658749632124	36.0	36.0	36.0	36.0	36.0
14-15	35.65115799037159	36.0	36.0	36.0	36.0	36.0
16-17	35.64572986533364	36.0	36.0	36.0	36.0	36.0
18-19	35.63847357409059	36.0	36.0	36.0	36.0	36.0
20-21	35.63204715490746	36.0	36.0	36.0	36.0	36.0
22-23	35.61252676781275	36.0	36.0	36.0	36.0	36.0
24-25	35.594390448407964	36.0	36.0	36.0	36.0	36.0
26-27	35.56893771697124	36.0	36.0	36.0	36.0	36.0
28-29	35.54969645439512	36.0	36.0	36.0	36.0	36.0
30-31	35.53473096987105	36.0	36.0	36.0	36.0	36.0
32-33	35.52132497588481	36.0	36.0	36.0	36.0	36.0
34-35	35.505632792863025	36.0	36.0	36.0	36.0	36.0
36-37	35.492179515864564	36.0	36.0	36.0	36.0	36.0
38-39	35.475972634061804	36.0	36.0	36.0	36.0	36.0
40-41	35.4594950688584	36.0	36.0	36.0	36.0	36.0
42-43	35.45015190598524	36.0	36.0	36.0	36.0	36.0
44-45	35.43643196085719	36.0	36.0	36.0	36.0	36.0
46-47	35.42065740438963	36.0	36.0	36.0	36.0	36.0
48-49	35.40446651114847	36.0	36.0	36.0	36.0	36.0
50-51	35.39568894996029	36.0	36.0	36.0	36.0	36.0
52-53	35.37849331711183	36.0	36.0	36.0	36.0	36.0
54-55	35.363452400916685	36.0	36.0	36.0	36.0	36.0
56-57	35.34509942708644	36.0	36.0	36.0	36.0	36.0
58-59	35.326141309482615	36.0	36.0	36.0	36.0	36.0
60-61	35.30783743693709	36.0	36.0	36.0	36.0	36.0
62-63	35.28576303791968	36.0	36.0	36.0	36.0	36.0
64-65	35.258406486195454	36.0	36.0	36.0	36.0	36.0
66-67	35.23491234337402	36.0	36.0	36.0	36.0	36.0
68-69	35.21368506794712	36.0	36.0	36.0	36.0	36.0
70-71	35.18048602960926	36.0	36.0	36.0	36.0	36.0
72-73	35.14966009520377	36.0	36.0	36.0	36.0	36.0
74-75	35.102963318328854	36.0	36.0	36.0	36.0	36.0
76	34.49964894407886	36.0	36.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.05676795604837892
11101	2	-0.01573863579585577
11101	3	0.021864012449640313
11101	4	-0.04479895347433782
11101	5	0.02297436536562003
11101	6	-0.0241349665072903
11101	7	-0.014998415972499402
11101	8	0.0025521213363219886
11101	9	-0.03853226457511738
11101	10-11	0.01416802464876099
11101	12-13	0.007091868468400264
11101	14-15	0.00793103833338904
11101	16-17	-0.027366129413643137
11101	18-19	-0.03825192708948322
11101	20-21	-0.01911889158885316
11101	22-23	-0.0019073457752583067
11101	24-25	-0.09157420908462655
11101	26-27	-0.0029065208139584797
11101	28-29	-0.041233969474660626
11101	30-31	-0.016303113502083022
11101	32-33	0.02138239414415466
11101	34-35	-0.05014778664941133
11101	36-37	0.0019744125220171327
11101	38-39	0.0022614306187591637
11101	40-41	0.024215693590832643
11101	42-43	-0.04409391590880318
11101	44-45	-0.045195481008072136
11101	46-47	-0.0967173856087058
11101	48-49	-0.0418674521793605
11101	50-51	-0.08649949792355471
11101	52-53	-0.061242337511309586
11101	54-55	-0.045474997664300076
11101	56-57	-0.02751694458850551
11101	58-59	-0.03568225484460896
11101	60-61	-0.0513535843628361
11101	62-63	-0.042096545024371324
11101	64-65	-0.03988827715295429
11101	66-67	-0.061923692129269625
11101	68-69	-0.1147928492465411
11101	70-71	-0.08965847008413164
11101	72-73	-0.018695946714849754
11101	74-75	-0.01756110377556297
11101	76	0.0839973126270337
11102	1	0.015752808684368347
11102	2	0.029780155376418094
11102	3	0.0624830477513072
11102	4	0.012884484068941049
11102	5	0.03705176876588112
11102	6	0.027710816127893168
11102	7	0.0466287565940533
11102	8	0.05706910643179697
11102	9	0.08469256108353562
11102	10-11	0.08204219042555394
11102	12-13	0.07151037201894184
11102	14-15	0.038147272537365495
11102	16-17	0.06277785694960158
11102	18-19	0.03063665468241794
11102	20-21	0.022466799201183107
11102	22-23	0.057467309671913824
11102	24-25	0.05818557201916974
11102	26-27	0.020824538964156147
11102	28-29	0.00912149981675725
11102	30-31	-0.0012287266447756906
11102	32-33	0.029879792968202423
11102	34-35	0.07565922761178712
11102	36-37	0.09893030729458019
11102	38-39	0.05603924502381119
11102	40-41	0.0780839251669363
11102	42-43	0.02836320418747107
11102	44-45	0.06464286205748948
11102	46-47	0.08064833735818411
11102	48-49	0.042805399210678274
11102	50-51	0.07430432129923759
11102	52-53	0.06645428732378633
11102	54-55	0.0284517064888945
11102	56-57	0.0186482523652316
11102	58-59	0.04312343639190175
11102	60-61	0.06796199720601948
11102	62-63	0.07935209106894803
11102	64-65	0.0580327643839027
11102	66-67	0.06954117927497805
11102	68-69	0.04943358321011715
11102	70-71	0.1238715205197991
11102	72-73	0.10973156514133109
11102	74-75	0.061049957755294315
11102	76	0.19204241693519464
11103	1	0.028072596746422818
11103	2	0.02530493349800622
11103	3	0.021609875929890165
11103	4	0.014609273382649945
11103	5	-0.012955097483999367
11103	6	0.0026579993426736337
11103	7	0.014460850521821556
11103	8	0.049521972270696324
11103	9	-0.02284755765964519
11103	10-11	0.01935791704882206
11103	12-13	0.022392479457714387
11103	14-15	0.04004869036598535
11103	16-17	1.3180223168518523E-4
