#Transcript position	Transcript coverage profile
0.0	2771.9867268324756
1.0	3046.9428628796713
2.0	3486.516555324847
3.0	3764.7573837827686
4.0	4153.502605707624
5.0	4115.789175872867
6.0	4141.21785393986
7.0	4063.9174768483967
8.0	4058.4109783198364
9.0	4124.239075948274
10.0	4412.839534254693
11.0	4697.824507800333
12.0	4897.07636279003
13.0	5072.038168770974
14.0	5189.350165561092
15.0	5429.781971853801
16.0	5674.427780626155
17.0	5782.7540552403125
18.0	6174.9148944270855
19.0	6364.476249174557
20.0	6739.873157962032
21.0	6834.984102953256
22.0	6829.801626267142
23.0	6882.938458763904
24.0	6809.998346118193
25.0	7025.503309081574
26.0	7355.302450143408
27.0	7377.035197845761
28.0	7512.412756393842
29.0	7472.289050689041
30.0	7543.24868323339
31.0	7686.557771405473
32.0	7970.187783902321
33.0	8134.668784529255
34.0	7921.47824675213
35.0	8396.048836361002
36.0	8320.151430299184
37.0	8375.589043329981
38.0	8480.617051682437
39.0	8674.235188876062
40.0	8612.8604424848
41.0	8869.528947245502
42.0	9098.618145650364
43.0	9134.637072073832
44.0	9085.21258433857
45.0	8973.657292937321
46.0	9218.17682423936
47.0	9183.452513636921
48.0	9044.96991782826
49.0	9166.696874428779
50.0	9187.096444007366
51.0	9219.86201870909
52.0	9229.095816256797
53.0	9173.669707842002
54.0	9120.598650263413
55.0	9039.979473891583
56.0	8934.551186646879
57.0	9041.789298174333
58.0	9057.48823304596
59.0	9074.063114193734
60.0	8994.539889568523
61.0	8947.376392704311
62.0	8921.2323169039
63.0	8781.71740291696
64.0	8613.730003845129
65.0	8615.67347566548
66.0	8414.361499996015
67.0	8367.157597039783
68.0	8466.497992690736
69.0	8488.781280494193
70.0	8501.379624559659
71.0	8555.959694961095
72.0	8457.751060573126
73.0	8530.516135064283
74.0	8269.861318316392
75.0	8109.172261248987
76.0	7716.451001936277
77.0	7555.5491513824845
78.0	7504.9811660065725
79.0	7238.303947927718
80.0	7225.58615057293
81.0	7086.5009263145685
82.0	6720.467504430539
83.0	6319.438102704969
84.0	6246.824556218866
85.0	6083.647172841057
86.0	5872.519682161766
87.0	5727.322614804136
88.0	5461.216880663826
89.0	4938.961615301735
90.0	4653.929521890533
91.0	4299.378169246812
92.0	4025.303975216875
93.0	3305.204098129212
94.0	2856.017938308809
95.0	2254.80230848832
96.0	1674.0152595115687
97.0	1264.8763686148377
98.0	807.7170145367757
99.0	180.7616923987247
