#Transcript position	Transcript coverage profile
0.0	4250.616333682835
1.0	4684.722605316971
2.0	5266.313358551181
3.0	5727.589759098111
4.0	6303.082470227471
5.0	6476.273657681229
6.0	6707.783171048273
7.0	6793.531893508219
8.0	6948.901802634773
9.0	7155.479428211604
10.0	7564.336729848697
11.0	7970.446583020696
12.0	8271.027430340788
13.0	8558.545955374668
14.0	8793.021146788014
15.0	9143.455083556384
16.0	9474.693183389014
17.0	9648.57037508718
18.0	10129.424049740386
19.0	10388.010752839935
20.0	10840.018166658583
21.0	11017.776013097398
22.0	11094.790765100426
23.0	11201.756481597797
24.0	11184.683116211625
25.0	11437.168204907111
26.0	11831.027451048565
27.0	11878.007143667797
28.0	12021.664480106274
29.0	12025.15067652852
30.0	12133.107314369361
31.0	12294.852585943032
32.0	12627.784160749272
33.0	12847.401109384893
34.0	12674.872332993144
35.0	13171.21148800984
36.0	13122.189904678518
37.0	13217.685568964293
38.0	13376.887545962787
39.0	13602.437822389415
40.0	13551.503065806472
41.0	13812.008688265758
42.0	14035.285035299583
43.0	14095.865728433493
44.0	14060.534333638734
45.0	14008.432727307945
46.0	14303.43577897857
47.0	14284.840496183464
48.0	14146.460389132058
49.0	14275.246001409245
50.0	14301.634983266455
51.0	14323.306009009337
52.0	14338.54180867627
53.0	14273.525010808515
54.0	14209.903838499446
55.0	14140.22339418743
56.0	14060.532942737434
57.0	14178.881753292388
58.0	14206.106033643926
59.0	14261.000246119418
60.0	14221.945036030782
61.0	14206.494109330048
62.0	14165.029716182498
63.0	14035.36336762458
64.0	13897.541743996144
65.0	13916.482927201778
66.0	13732.14181695956
67.0	13678.444371726035
68.0	13758.733700664581
69.0	13804.999341008392
70.0	13835.19897285997
71.0	13896.64943390441
72.0	13778.854059695084
73.0	13817.848410602026
74.0	13542.522424188945
75.0	13371.342238756606
76.0	13007.119574527575
77.0	12839.161844946728
78.0	12742.626093435852
79.0	12440.746568849854
80.0	12359.632111284162
81.0	12211.078448289752
82.0	11813.935741800507
83.0	11397.487810226718
84.0	11304.213737158525
85.0	11100.61935153194
86.0	10859.104208247683
87.0	10681.777758693544
88.0	10362.626806281283
89.0	9741.480864194671
90.0	9313.337380560923
91.0	8790.549411115486
92.0	8300.438646598526
93.0	7284.116603036104
94.0	6448.444056912186
95.0	5386.231479076287
96.0	4205.67916991014
97.0	3044.8511103981928
98.0	1820.8485079228271
99.0	486.51136930541156
