#Transcript position	Transcript coverage profile
0.0	2153.3388586413075
1.0	2267.3861709117878
2.0	2591.4610250527003
3.0	2934.076906110979
4.0	3447.624101639679
5.0	3666.052048843019
6.0	3795.8474098333554
7.0	3932.3690656546846
8.0	3950.4450947250803
9.0	4054.908877968124
10.0	4458.886758532924
11.0	4758.060426658296
12.0	5035.875127821401
13.0	5192.749081825851
14.0	5265.015733085446
15.0	5533.761522718083
16.0	5709.24692334078
17.0	5814.455861527838
18.0	6029.262500518684
19.0	6169.399674076044
20.0	6430.492430345946
21.0	6561.020341407071
22.0	6615.071324122168
23.0	6748.64004862785
24.0	6804.831686112786
25.0	6982.983850434346
26.0	7204.249344258501
27.0	7137.46283756903
28.0	7375.152641800136
29.0	7313.022862067843
30.0	7429.613356432327
31.0	7559.486930479675
32.0	7866.351284029135
33.0	8103.377274760713
34.0	7988.422428179952
35.0	8009.15978146051
36.0	7775.179132163466
37.0	7808.878328524502
38.0	7820.716859679495
39.0	8035.343513188522
40.0	8070.998265608442
41.0	8356.168709394686
42.0	8705.737260180305
43.0	8810.517072278291
44.0	8824.245949242144
45.0	8807.243948382791
46.0	8947.014915531587
47.0	9010.896908956493
48.0	8860.365452294389
49.0	8893.958551709498
50.0	8817.618685265641
51.0	8840.027151707227
52.0	8752.533189755732
53.0	8762.680232077286
54.0	8720.497801334528
55.0	8726.076324596657
56.0	8714.118130689521
57.0	8744.398749469707
58.0	8694.442161024477
59.0	8610.03845987655
60.0	8529.657292163669
61.0	8502.129774929395
62.0	8476.190615513642
63.0	8572.13559945111
64.0	8430.178816048745
65.0	8318.460707511436
66.0	8146.358363930798
67.0	8065.086129904293
68.0	8177.828403825483
69.0	8201.73947006913
70.0	8070.1456569881575
71.0	8043.779486164079
72.0	7950.760309517919
73.0	7993.415246045701
74.0	7753.574676671044
75.0	7616.279663203965
76.0	7250.502722269696
77.0	7150.957192164591
78.0	7081.688424553329
79.0	6925.911249019707
80.0	6818.416647123655
81.0	6673.984548810367
82.0	6382.118403600678
83.0	6075.099992426922
84.0	5981.435557544564
85.0	5721.273773813674
86.0	5543.891691625403
87.0	5388.534848719297
88.0	5168.672456171713
89.0	4634.4817489361085
90.0	4397.385233343194
91.0	4087.9757523628255
92.0	3827.0853989246352
93.0	3089.1154111870514
94.0	2631.592424823737
95.0	1970.2451485491101
96.0	1392.7844196956048
97.0	1057.780308947568
98.0	687.9976222767467
99.0	192.78116906631064
