#Transcript position	Transcript coverage profile
0.0	3674.9644409686875
1.0	3961.6503933975537
2.0	4447.0737509792325
3.0	4997.999098800847
4.0	5712.147958463438
5.0	6159.961007738287
6.0	6512.125071728114
7.0	6849.786296813562
8.0	7046.1371366877875
9.0	7310.042394959875
10.0	7857.9677797989025
11.0	8287.502645521145
12.0	8672.425100019287
13.0	8947.61328479815
14.0	9149.515186352672
15.0	9528.680603112725
16.0	9814.096963039501
17.0	10003.687954599545
18.0	10298.901594311548
19.0	10523.449033480154
20.0	10873.283256773617
21.0	11085.311494828393
22.0	11219.115349040105
23.0	11417.294523914328
24.0	11547.462028814898
25.0	11779.728894103093
26.0	12071.020497785163
27.0	12042.987335514503
28.0	12296.089857926263
29.0	12277.93828308515
30.0	12429.141719339272
31.0	12565.594353469996
32.0	12893.291109850923
33.0	13166.008291420218
34.0	13069.279158264115
35.0	13095.61868410494
36.0	12880.788550146932
37.0	12963.169062562421
38.0	13034.832997763695
39.0	13268.483135760596
40.0	13297.733359787915
41.0	13578.733748339582
42.0	13912.699083820837
43.0	14036.315248012032
44.0	14070.84058585289
45.0	14114.673116261847
46.0	14292.412377967286
47.0	14372.323870949334
48.0	14216.407858327739
49.0	14266.4740399565
50.0	14202.636794221133
51.0	14221.63649708521
52.0	14139.625851477465
53.0	14151.894120352013
54.0	14098.98783948947
55.0	14118.055576135937
56.0	14114.293096740563
57.0	14131.8887208055
58.0	14090.737831366967
59.0	14053.824536181719
60.0	14015.67781044563
61.0	14008.371012141342
62.0	13940.0958063044
63.0	14039.690905995823
64.0	13926.20148158533
65.0	13833.20241181984
66.0	13672.893739009745
67.0	13576.692328731204
68.0	13668.148246742658
69.0	13700.072970608453
70.0	13568.923628155571
71.0	13541.72892829322
72.0	13451.51530318874
73.0	13458.402219066686
74.0	13193.685506417156
75.0	13035.463365932155
76.0	12689.427112859306
77.0	12550.258493043564
78.0	12435.873046994326
79.0	12241.020049712595
80.0	12089.189362780224
81.0	11932.116725519469
82.0	11600.142412524148
83.0	11260.218756087195
84.0	11105.692411847247
85.0	10811.305249067209
86.0	10608.817762491839
87.0	10393.040929659524
88.0	10111.663093824449
89.0	9460.856183988373
90.0	9085.916702313503
91.0	8593.593215077715
92.0	8102.6286411251485
93.0	7075.132479207753
94.0	6243.8964392249745
95.0	5107.1772932519525
96.0	3920.3924994725908
97.0	2850.302579246103
98.0	1707.4285726399844
99.0	501.99923438587655
