#Transcript position	Transcript coverage profile
0.0	2911.027767823603
1.0	3369.6361629866824
2.0	3745.854551677562
3.0	3689.5745057108034
4.0	4144.942728057938
5.0	4976.314311010619
6.0	5374.012061053739
7.0	5716.114606699865
8.0	5798.823918476192
9.0	6627.825329140932
10.0	7301.722773989395
11.0	7950.982470860118
12.0	8222.90856097162
13.0	8448.89008078956
14.0	8816.022394135209
15.0	9405.627029101162
16.0	10056.90869033875
17.0	10300.734572217687
18.0	10123.664719548286
19.0	9820.314252876902
20.0	9682.976937849196
21.0	9731.86890955832
22.0	10040.508871820874
23.0	10312.412926002777
24.0	11044.28007359938
25.0	11693.48300375759
26.0	12220.5190482261
27.0	12450.115665488353
28.0	12475.899607798421
29.0	12611.554352955955
30.0	12604.29857499062
31.0	12253.85625466633
32.0	12302.99607520073
33.0	12552.361101423845
34.0	13025.761704823315
35.0	13329.867021191245
36.0	13709.161839481738
37.0	14634.371531493329
38.0	14894.284730584299
39.0	14696.474816786442
40.0	14939.815359092767
41.0	14959.245340657528
42.0	15030.542340395166
43.0	14484.20740066154
44.0	14042.282905096412
45.0	13558.762882654572
46.0	13662.271533765375
47.0	13865.926939155084
48.0	13979.65792735439
49.0	14419.751356507062
50.0	14955.190695471969
51.0	15969.890357931594
52.0	15799.270612137287
53.0	15752.514233530197
54.0	15832.793656702712
55.0	15221.971408664958
56.0	15170.258758516618
57.0	14505.761264095832
58.0	14523.709549520587
59.0	14447.700384134427
60.0	14520.190090342066
61.0	14574.712639545913
62.0	15043.590345989905
63.0	14664.819488184323
64.0	14603.479742187335
65.0	14683.677610196415
66.0	14559.14176060037
67.0	14421.558256986518
68.0	14518.41436426736
69.0	14576.587106702103
70.0	14938.7140263935
71.0	15639.410067817274
72.0	15916.325017503626
73.0	16573.156883595835
74.0	16552.811797148628
75.0	15502.401965114983
76.0	14708.975468390383
77.0	14063.46076339836
78.0	13444.486118969062
79.0	13031.299218382901
80.0	12778.25230990802
81.0	12760.986806506182
82.0	12584.089397573664
83.0	12506.89830292361
84.0	11902.629883364714
85.0	11638.249596767553
86.0	11206.276838148453
87.0	10348.48893599677
88.0	10088.113847712784
89.0	10011.457459634577
90.0	9746.399681559964
91.0	8855.97029803549
92.0	7950.363765874596
93.0	6675.37415063976
94.0	5942.473263242856
95.0	4719.756644966799
96.0	3204.291172749484
97.0	2094.985792958794
98.0	1179.8351418095203
99.0	255.3637895811266
