#Transcript position	Transcript coverage profile
0.0	15812.168984191054
1.0	16569.713378321972
2.0	17691.61841045335
3.0	18352.285977034924
4.0	19843.35601914486
5.0	21751.07728200628
6.0	23338.164600005646
7.0	24825.432143234113
8.0	26091.915370022663
9.0	28173.296866618984
10.0	30170.43877532757
11.0	31711.75423745776
12.0	32821.643150159405
13.0	34086.054466727444
14.0	35574.63624416957
15.0	36890.0275113048
16.0	38513.25982146282
17.0	39498.08442908054
18.0	40086.29359598094
19.0	40064.092050322266
20.0	40357.32988188181
21.0	41022.28210406746
22.0	41809.75196991208
23.0	42426.47288099882
24.0	43112.430952495844
25.0	44183.04267204423
26.0	45150.266693098165
27.0	45377.27181480604
28.0	45955.99498393929
29.0	46612.93314293695
30.0	46646.82698364463
31.0	46281.78644446768
32.0	46408.81597534577
33.0	46760.719250350805
34.0	47239.47507053292
35.0	47753.15132160421
36.0	48136.429857189825
37.0	48976.14151207326
38.0	49510.19026492374
39.0	49494.08588929868
40.0	50092.88613708782
41.0	50509.12148799974
42.0	50991.19872691275
43.0	50692.83386742887
44.0	50471.89180826932
45.0	49916.43116005733
46.0	49911.61775506868
47.0	49876.92986563585
48.0	49869.632511317046
49.0	50292.11825071443
50.0	51006.73736011729
51.0	52499.43951022104
52.0	52434.49728559416
53.0	52541.063264293625
54.0	52981.87087776216
55.0	52578.47641442721
56.0	52431.34172361219
57.0	51687.65405065569
58.0	51809.24637138135
59.0	51866.52339026025
60.0	51751.46099083476
61.0	51894.98870869194
62.0	52900.6165950682
63.0	52668.38888964794
64.0	52569.45840677237
65.0	52601.209207291984
66.0	52440.59543033026
67.0	52460.208881943196
68.0	52906.272547393695
69.0	52814.509290162605
70.0	53431.20051557231
71.0	54282.63007940842
72.0	54418.73015198922
73.0	55050.01200103555
74.0	55090.015283883426
75.0	54037.42346910377
76.0	53294.18387584091
77.0	52512.83906826392
78.0	51768.179581522
79.0	51253.93965943713
80.0	50705.32923201837
81.0	50429.97726833244
82.0	50022.63335051578
83.0	49816.67895918229
84.0	49149.22335001837
85.0	48540.550899912225
86.0	47539.50751286496
87.0	45285.48317434859
88.0	43301.850539767795
89.0	41637.734561889454
90.0	39774.68401580682
91.0	37053.68696649961
92.0	33879.89786700978
93.0	29895.2659256896
94.0	26459.437232124525
95.0	21813.95418113005
96.0	16743.818959081676
97.0	11833.55059103871
98.0	7016.104243745451
99.0	2044.9596930997657
