#Transcript position	Transcript coverage profile
0.0	3442.4493904177693
1.0	3947.9886564304197
2.0	4320.302205653322
3.0	4227.554685196175
4.0	4673.331396544805
5.0	5502.988531665406
6.0	5920.36536327497
7.0	6273.183458342396
8.0	6363.13672582775
9.0	7364.000733972503
10.0	8133.731920416229
11.0	8888.532710011476
12.0	9123.632236748728
13.0	9322.262493321974
14.0	9635.47765380175
15.0	10241.85271982587
16.0	11044.193793483477
17.0	11489.638251331859
18.0	11266.980246908552
19.0	10988.128834327375
20.0	10881.49653480264
21.0	10812.58327299198
22.0	11111.179665102794
23.0	11412.105416819653
24.0	12149.906918052342
25.0	12898.170303905337
26.0	13542.282284053344
27.0	13826.082818663263
28.0	13773.178539967661
29.0	13781.969616641598
30.0	13760.74715353793
31.0	13355.017290092193
32.0	13373.333518735879
33.0	13630.698144787768
34.0	14210.6197251858
35.0	14490.50623441851
36.0	14875.329351776929
37.0	15746.600513463813
38.0	15926.983251929052
39.0	15611.392456242145
40.0	16023.888254983774
41.0	16102.937457558746
42.0	16298.253326302938
43.0	15806.326518441112
44.0	15335.297770326773
45.0	14717.507040632367
46.0	14837.745833894078
47.0	14990.811869745832
48.0	15154.595727149672
49.0	15433.519266197867
50.0	15880.066309162477
51.0	16910.077909678534
52.0	16728.16552025658
53.0	16655.50473331267
54.0	16773.56530249792
55.0	16126.907499622606
56.0	16038.794241839463
57.0	15444.309699980497
58.0	15497.50444227466
59.0	15415.789783733799
60.0	15510.507286620066
61.0	15650.345579751965
62.0	16226.160444764879
63.0	15927.885985169662
64.0	15832.893636776598
65.0	15955.453463687181
66.0	15843.611095594952
67.0	15828.30012223527
68.0	16003.406846568423
69.0	16004.546506124347
70.0	16272.724926448644
71.0	16943.669143839143
72.0	17091.03964580333
73.0	17683.607773548774
74.0	17702.872947657128
75.0	16579.905161166356
76.0	15762.79763034162
77.0	15062.085276365375
78.0	14473.825602160707
79.0	14148.48903173407
80.0	13852.221484758538
81.0	13717.490982644033
82.0	13376.753272547832
83.0	13195.701374304585
84.0	12603.95317404967
85.0	12374.50469073428
86.0	11802.72819679263
87.0	10775.040886608329
88.0	10384.256147853226
89.0	10256.373496727263
90.0	9860.433512178239
91.0	8941.885049099097
92.0	8031.795077998994
93.0	6840.532581427292
94.0	6082.668477593978
95.0	4765.057554775233
96.0	3187.796254564128
97.0	2062.327537169127
98.0	1130.1897668050835
99.0	259.5029798010647
