#Transcript position	Transcript coverage profile
0.0	17691.978647090767
1.0	18466.751890164098
2.0	19648.299694107234
3.0	20321.650858634006
4.0	21890.301348454763
5.0	23926.811950411786
6.0	25636.78638737037
7.0	27242.442664127986
8.0	28625.379425747113
9.0	30963.527784284237
10.0	33219.778212843885
11.0	34997.365305534986
12.0	36126.046973781005
13.0	37382.35363278795
14.0	38808.10552885204
15.0	40146.82787275496
16.0	41988.28309498419
17.0	43155.7003548033
18.0	43801.01929651595
19.0	43887.95384072912
20.0	44238.246819665124
21.0	44896.71517859217
22.0	45808.98700897561
23.0	46577.447173509405
24.0	47318.44639353366
25.0	48544.03815421973
26.0	49570.82300860819
27.0	49839.66818055184
28.0	50490.3962058682
29.0	51049.15955729879
30.0	51015.62747115537
31.0	50588.32081233363
32.0	50665.0636495554
33.0	51064.865069268424
34.0	51634.333498274806
35.0	52154.86340231122
36.0	52545.84075039225
37.0	53397.37219996929
38.0	53930.51394578362
39.0	53787.125081386504
40.0	54454.82709989978
41.0	54903.36761070988
42.0	55497.02326921973
43.0	55150.87617515999
44.0	54863.05565315154
45.0	54169.71029219255
46.0	54111.61851306948
47.0	54035.234909251536
48.0	54069.67801644226
49.0	54352.20612548778
50.0	55065.20303937709
51.0	56668.602799466666
52.0	56530.63551269239
53.0	56606.6201557048
54.0	56982.18561681058
55.0	56478.72367950292
56.0	56182.23361690432
57.0	55522.50617691726
58.0	55546.41771941521
59.0	55578.63751128699
60.0	55481.495336559536
61.0	55711.44910373089
62.0	56866.51099233319
63.0	56695.343242277486
64.0	56435.63998369541
65.0	56395.11143036531
66.0	56226.25351901063
67.0	56315.087633055984
68.0	56669.04099890161
69.0	56418.930594734666
70.0	57008.82127165315
71.0	57844.66836953509
72.0	57872.619734858796
73.0	58416.112824324875
74.0	58476.03474921093
75.0	57363.73787463292
76.0	56648.54427174207
77.0	55829.96105017459
78.0	55067.376169112074
79.0	54631.390509283156
80.0	54030.01967548913
81.0	53711.07606471325
82.0	53251.32956888102
83.0	52978.62033062078
84.0	52267.86392531414
85.0	51606.59857915305
86.0	50468.851400671905
87.0	47960.96770986595
88.0	45776.29135576319
89.0	44032.93146961851
90.0	41935.62825130813
91.0	39031.43706540172
92.0	35638.579354134
93.0	31539.777992861316
94.0	27915.438792487028
95.0	22913.767499991234
96.0	17513.603623669995
97.0	12341.920722309083
98.0	7312.515325752997
99.0	2136.165766806773
