#Transcript position	Transcript coverage profile
0.0	2594.6534198251456
1.0	2921.591164452197
2.0	3093.2538744963585
3.0	3060.296489180754
4.0	3310.6574407144726
5.0	3835.641391995448
6.0	4053.0413829700756
7.0	4472.663266533824
8.0	4534.2727405127425
9.0	5377.887761327211
10.0	5911.931714685891
11.0	6562.959049801463
12.0	6892.999726535011
13.0	7275.653921482849
14.0	7476.794038516187
15.0	7596.642156262611
16.0	8119.841343502973
17.0	8597.081890039715
18.0	8626.196584656593
19.0	8506.939089335616
20.0	8449.483784916665
21.0	8402.318886709094
22.0	8575.171940610993
23.0	8908.869314366375
24.0	9282.876134126818
25.0	9829.386009455857
26.0	10303.761228789013
27.0	10516.674470583235
28.0	10688.555280981558
29.0	10740.403959819225
30.0	10721.565186179363
31.0	10617.764884593164
32.0	10806.92947547527
33.0	11049.556489678735
34.0	11383.66260723076
35.0	11457.643249289671
36.0	11698.821798026025
37.0	12382.436064718719
38.0	12497.542783669911
39.0	12264.32043984525
40.0	12662.474932522746
41.0	12789.902625136325
42.0	13107.668591259684
43.0	12645.996130755871
44.0	12209.903462765304
45.0	11414.826862354339
46.0	11446.406195358431
47.0	11480.412343109616
48.0	11557.122650691952
49.0	11750.603795284183
50.0	12044.361538414787
51.0	12963.54287061209
52.0	12805.918846794126
53.0	12783.962134307634
54.0	12918.625949928524
55.0	12575.634345725943
56.0	12532.530022028632
57.0	11919.607298409506
58.0	11810.863160699993
59.0	11681.493408823459
60.0	11758.158864623667
61.0	11949.592318970883
62.0	12519.141986045446
63.0	12198.269238806952
64.0	11868.749535949122
65.0	11692.278181837177
66.0	11608.07431947678
67.0	11685.446401474233
68.0	11729.155371441826
69.0	11704.762598735137
70.0	12071.817725492412
71.0	12512.534531685988
72.0	12667.31618520469
73.0	13048.0349945847
74.0	13124.75647656334
75.0	12480.54792968435
76.0	11895.791667747699
77.0	11466.604565950722
78.0	11100.759297338249
79.0	10788.263213977612
80.0	10364.734772226238
81.0	10190.828150672132
82.0	9905.002912151484
83.0	9794.509343358817
84.0	9469.883913726706
85.0	9298.999712442142
86.0	8889.063626876057
87.0	8160.631929381116
88.0	7963.889289557847
89.0	7871.974957403525
90.0	7512.8492593161955
91.0	7030.5043408339525
92.0	6472.142662832229
93.0	5590.011006087103
94.0	4665.311605309812
95.0	3421.914097545913
96.0	2232.6901926055957
97.0	1444.2217723499768
98.0	812.3422602343292
99.0	143.06916822805974
