#Transcript position	Transcript coverage profile
0.0	15072.16914001031
1.0	15591.042990060974
2.0	16412.86990931402
3.0	16987.272510727682
4.0	18236.69704473873
5.0	19851.714657720706
6.0	21184.237831014667
7.0	22607.785767899022
8.0	23769.83268248157
9.0	25716.614352040666
10.0	27469.277123511307
11.0	28981.206337014257
12.0	29942.718322780172
13.0	31109.942632136866
14.0	32238.26988658045
15.0	33229.62015563643
16.0	34629.374749334165
17.0	35673.29639210278
18.0	36342.170337598654
19.0	36553.16119806489
20.0	36889.47083275816
21.0	37465.130777127495
22.0	38263.43454281431
23.0	39015.713560034535
24.0	39410.433287084525
25.0	40416.5675249199
26.0	41349.380326094906
27.0	41675.597906878225
28.0	42411.249855136026
29.0	42975.591245389354
30.0	42852.43953752148
31.0	42629.53630999782
32.0	42785.52193520688
33.0	42949.11433223525
34.0	43401.98504934209
35.0	43770.19004718091
36.0	43916.46393464387
37.0	44586.88982590321
38.0	45022.62521445087
39.0	44923.30271958683
40.0	45448.61229869462
41.0	45839.15140348558
42.0	46356.09167428004
43.0	46007.52757274074
44.0	45799.69309385297
45.0	45147.73018272602
46.0	45103.07123723393
47.0	44983.459976290316
48.0	44868.950976407075
49.0	45212.38393542596
50.0	45814.60519057379
51.0	47084.07386703878
52.0	46987.40809686343
53.0	46995.53446556982
54.0	47290.727682234945
55.0	46934.92792761395
56.0	46867.543021967474
57.0	46401.648798480535
58.0	46329.26701844943
59.0	46365.553797751156
60.0	46228.94522180289
61.0	46450.32443162489
62.0	47407.77080361208
63.0	47219.84659732185
64.0	46767.133902899244
65.0	46650.47558643031
66.0	46622.42431663009
67.0	46830.0063234638
68.0	46856.79408463626
69.0	46506.89418908151
70.0	47039.894802331466
71.0	47605.69969045331
72.0	47670.639200413236
73.0	48101.96924758565
74.0	48262.17741765829
75.0	47523.29016861228
76.0	47020.693373931026
77.0	46596.680704444894
78.0	46124.72490691519
79.0	45769.01135441371
80.0	45182.590759536855
81.0	44950.90957852792
82.0	44562.22494411242
83.0	44321.02244794323
84.0	43799.74694288197
85.0	43343.88233211501
86.0	42405.75776773191
87.0	40421.59587863277
88.0	38631.282770976795
89.0	37277.51254068897
90.0	35475.85741389022
91.0	33249.58637953128
92.0	30572.706412336556
93.0	27161.166474711335
94.0	23800.57212874048
95.0	19427.262996460202
96.0	14953.533093904774
97.0	10603.951663711152
98.0	6313.33023031994
99.0	1836.5794504905746
