#Transcript position	Transcript coverage profile
0.0	1993.2753159568065
1.0	2297.603848999601
2.0	2477.4588538610146
3.0	2443.218179037027
4.0	2683.242582161644
5.0	3162.3450751131477
6.0	3395.4795970210043
7.0	3678.5269069049054
8.0	3731.9497010450946
9.0	4256.454582481614
10.0	4775.228188161067
11.0	5335.6091973248085
12.0	5652.811434290703
13.0	5877.604860512457
14.0	6070.917949681457
15.0	6232.455383905389
16.0	6684.033420176066
17.0	7102.522964112159
18.0	7165.850015787415
19.0	7013.923290477734
20.0	6968.2839711539855
21.0	6966.008139993395
22.0	7121.3390996315875
23.0	7423.302414928625
24.0	7820.553192244652
25.0	8229.470027275005
26.0	8624.152069401183
27.0	8804.97784441101
28.0	8898.798572424059
29.0	9008.4293459895
30.0	8909.160781901166
31.0	8773.372220454907
32.0	8947.568876193844
33.0	9248.303264973303
34.0	9472.729514240436
35.0	9607.863300583082
36.0	9867.792113681964
37.0	10592.247665297426
38.0	10760.296206018149
39.0	10492.154647312822
40.0	10743.945450663767
41.0	10828.816667121664
42.0	11029.297027855768
43.0	10511.16703977732
44.0	10095.268841964149
45.0	9530.962779685782
46.0	9553.795964608213
47.0	9553.686017993863
48.0	9567.282596070494
49.0	9858.653484152439
50.0	10177.819345039148
51.0	10942.34172365489
52.0	10834.656521204228
53.0	10810.965945254115
54.0	10971.071066722538
55.0	10714.361272583234
56.0	10842.884887971051
57.0	10272.787321002228
58.0	10232.597657378115
59.0	10132.933045387172
60.0	10167.019069159016
61.0	10222.07603847273
62.0	10579.727086211024
63.0	10181.134606421125
64.0	9995.3286167336
65.0	9997.417694443482
66.0	9954.1657722225
67.0	9965.117723382973
68.0	10076.40640159439
69.0	10114.153913901795
70.0	10439.48408762117
71.0	10923.141790414269
72.0	11166.932689362367
73.0	11602.26208887763
74.0	11602.059160978191
75.0	11002.530731133189
76.0	10434.889388702277
77.0	10008.418803024015
78.0	9699.767864722437
79.0	9320.848455400852
80.0	9007.426501086447
81.0	8990.063925367884
82.0	8732.442532803634
83.0	8669.32372189115
84.0	8351.247947867021
85.0	8220.342563795391
86.0	7883.10583327962
87.0	7252.58596536367
88.0	7095.912542689544
89.0	7026.499852781463
90.0	6795.8043846019755
91.0	6379.718739642404
92.0	5866.488265683512
93.0	4991.634182627311
94.0	4158.728220050089
95.0	3116.3968436380296
96.0	2091.269938154727
97.0	1328.035651757495
98.0	776.6439417657446
99.0	141.35986140953594
