#Transcript position	Transcript coverage profile
0.0	12098.39709267391
1.0	12569.44772685712
2.0	13306.037568439397
3.0	13754.508801646782
4.0	14806.371835992546
5.0	16160.345477165232
6.0	17265.583522385266
7.0	18495.771307926803
8.0	19524.27431638675
9.0	21083.272009248798
10.0	22606.002109865847
11.0	23809.6626635073
12.0	24668.397040839656
13.0	25612.597502769626
14.0	26647.031509580214
15.0	27547.51423197063
16.0	28725.759990365557
17.0	29642.32862314504
18.0	30202.72509266965
19.0	30239.541289891262
20.0	30506.316940836183
21.0	31020.418325625382
22.0	31669.272038885065
23.0	32260.62870434753
24.0	32680.75989676582
25.0	33480.21754715869
26.0	34290.63248963278
27.0	34513.74830753181
28.0	35070.57123573888
29.0	35656.51150016728
30.0	35550.42717972082
31.0	35396.588897671725
32.0	35627.6457772176
33.0	35843.99391572898
34.0	36143.134671452994
35.0	36526.650271251696
36.0	36701.80122510336
37.0	37345.04174895439
38.0	37786.16614178249
39.0	37716.59207485558
40.0	38112.2832017454
41.0	38460.92797965802
42.0	38890.95744862494
43.0	38573.73555378368
44.0	38428.110126021624
45.0	37962.57725768561
46.0	37903.716288139316
47.0	37795.969578258715
48.0	37705.822330296774
49.0	38164.51345346139
50.0	38780.44203007572
51.0	39895.12774597024
52.0	39883.9152144817
53.0	39905.92340591304
54.0	40274.287537040895
55.0	40085.23864967304
56.0	40127.99412240501
57.0	39630.50157379571
58.0	39626.050475801276
59.0	39688.236854525865
60.0	39609.83980326675
61.0	39741.8065958743
62.0	40451.41983745519
63.0	40247.27425033847
64.0	39988.85819568595
65.0	39930.12473365916
66.0	39877.7813888778
67.0	39982.465623799515
68.0	40088.88208912136
69.0	39913.02243943516
70.0	40414.61058202965
71.0	41002.8666968036
72.0	41217.86051844412
73.0	41730.335409146996
74.0	41835.29129621372
75.0	41135.055802432034
76.0	40699.96191075187
77.0	40378.99810400727
78.0	39956.33363445459
79.0	39536.27416842512
80.0	39036.63911950483
81.0	38837.108009105585
82.0	38480.82154947919
83.0	38277.36557808244
84.0	37767.138358029835
85.0	37397.66590017573
86.0	36572.00744252234
87.0	34907.41241604629
88.0	33433.587485310236
89.0	32240.75700389828
90.0	30789.137052036316
91.0	28910.46757721405
92.0	26661.054656915996
93.0	23581.934505051864
94.0	20672.178181229283
95.0	16960.82043724628
96.0	13092.717460374688
97.0	9268.300319731066
98.0	5541.501421676982
99.0	1609.9070584934946
